algo,reward,seed,final_step,final_eval_return,win_rate,draw_rate,loss_rate,mean_len,run_dir
a2c,r0,0,299776,-0.052,0.42645,0.0951,0.47845,1.5261,results/a2c_r0_seed0_20260106-121408
a2c,r0,1,299776,-0.0495,0.42795,0.0946,0.47745,1.5277,results/a2c_r0_seed1_20260106-122856
a2c,r0,2,299776,-0.05375,0.42325,0.09975,0.477,1.55295,results/a2c_r0_seed2_20260106-124602
a2c,r1,0,299776,-0.05155,0.4267,0.09505,0.47825,1.5184,results/a2c_r1_seed0_20260106-121901
a2c,r1,1,299776,-0.05505,0.42535,0.09425,0.4804,1.51375,results/a2c_r1_seed1_20260106-123346
a2c,r1,2,299776,-0.0524,0.42415,0.0993,0.47655,1.55925,results/a2c_r1_seed2_20260106-125102
a2c,r2,0,299776,-0.05275,0.4271,0.09305,0.47985,1.5369,results/a2c_r2_seed0_20260106-122359
a2c,r2,1,299776,-0.04965,0.4266,0.09715,0.47625,1.577,results/a2c_r2_seed1_20260106-123830
a2c,r2,2,299776,-0.0511,0.42445,0.1,0.47555,1.5573,results/a2c_r2_seed2_20260106-125558
doubleq,r0,0,200000,-0.05765,0.42445,0.09345,0.4821,1.5709,results/doubleq_r0_seed0_20260106-120607
doubleq,r0,1,200000,-0.0596,0.42155,0.0973,0.48115,1.5764,results/doubleq_r0_seed1_20260106-121300
doubleq,r0,2,200000,-0.0552,0.428,0.0888,0.4832,1.57495,results/doubleq_r0_seed2_20260106-120818
doubleq,r1,0,200000,-0.0595,0.42345,0.0936,0.48295,1.56205,results/doubleq_r1_seed0_20260106-120618
doubleq,r1,1,200000,-0.06805,0.41915,0.09365,0.4872,1.5813,results/doubleq_r1_seed1_20260106-120728
doubleq,r1,2,200000,-0.0513,0.4269,0.0949,0.4782,1.57475,results/doubleq_r1_seed2_20260106-120829
doubleq,r2,0,200000,-0.0584,0.4212,0.0992,0.4796,1.5839,results/doubleq_r2_seed0_20260106-120628
doubleq,r2,1,200000,-0.0714,0.41765,0.0933,0.48905,1.59315,results/doubleq_r2_seed1_20260106-120738
doubleq,r2,2,200000,-0.05505,0.4252,0.09455,0.48025,1.56515,results/doubleq_r2_seed2_20260106-120839
